Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
JBGS,JBG SMITH Properties,18.3,-0.27247956,-0.05,Sell,856140,15667362,2093353236.9999995,32.26657289,0.5687,997,Finance
PSA,Public Storage,281.79,-2.57571567,-7.45,Sell,853932,240629498.28000003,49465945080,24.63797744,11.8092,5800,Finance
DX,"Dynex Capital, Inc.",11.5,-2.04429302,-0.24,Sell,846075,9729862.5,511947104,2.62352231,4.5172,19,Finance
RYN,Rayonier Inc. REIT,32.33,-3.57888458,-1.2,Sell,820578,26529286.74,4733818500,35.02193441,0.9614,406,Finance
KRC,Kilroy Realty Corporation,41.55,0.3865668,0.16,Sell,818960,34027788,9711977498,25.05144656,1.659,244,Finance
GEO,Geo Group Inc (The) REIT,8.51,-0.58411215,-0.05,Strong Buy,781356,6649339.56,1056009857.9999998,16.90029615,0.5109,15800,Commercial Services
SLG,SL Green Realty Corp,38.61,0.70422535,0.27,Sell,781285,30165413.85,2601705245,8.48906208,4.5511,931,Finance
IVR,INVESCO MORTGAGE CAPITAL INC,10.64,-2.74223035,-0.3,Sell,773454,8229550.56,376656028,,-11.3417,,Finance
RTL,"The Necessity Retail REIT, Inc.",5.8,-0.34364261,-0.02,Sell,759958,4407756.4,772955519,,-0.5017,,Finance
ADC,Agree Realty Corporation,63.49,-3.64243436,-2.4,Strong Sell,713681,45311606.69000001,5068635582,34.8311043,1.9013,57,Finance
STAR,iStar Inc.,8.79,-2.00668896,-0.18,Sell,712523,6263077.17,750430219,,-0.945,144,Finance
AVB,"AvalonBay Communities, Inc.",169.58,-3.57650537,-6.29,Strong Sell,711856,120716540.48,23712527222,30.21094582,5.8236,2927,Finance
ACRE,Ares Commercial Real Estate Corporation,10.83,-3.30357143,-0.37,Sell,711836,7709183.88,589567458,10.09009009,1.1183,2100,Finance
ILPT,Industrial Logistics Properties Trust,4.75,-2.26337449,-0.11,Sell,689421,3274749.75,310780434,,-1.0548,,Finance
